Integral Name,Class,Ra Obj,Dec Obj,Integral Alt Names,Maxi Name,Maxi ID,Swift Name,Swift ID,Fermi Name,Fermi ID,Swift Weak
3C 433,7106,320.89333999999997,25.205557000000002,"QSO B2121+248, 2E 2121.5+2451, PKS J2123+2504",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
V2069 Cyg,1640,320.9368,42.30061,"RX J2123.7+4217, IGR J21237+4218",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21247+5058,7504,321.16434,50.973446,4C .0.55,4C 50.55,J2124+511,IGR J21247+5058,IGRJ21247p5058,noFermi,noFermi,yes
IGR J21268+6203,9999,321.692,62.062,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21272+4241,7105,321.8271200000001,42.65311,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21277+5656,7104,321.94125,56.94289000000001,"1RXS J212746.7+565606, 1RXH J212745.4+565634, NVSS J212745+565633, SWIFT J2127.4+5654",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21286+4956,9999,322.143,49.945,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
PKS 2126-158,7200,322.30075,-15.644722,"[VV96] J212912.1-153842, 1RXS J212912.9-153846, 2E 2126.4-1551, PKS J2129-1538, QSO B2126-158, QSO J2129-1538",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4U 2129+12,1520,322.49292,12.1675,"1RXS J212958.4+120959, 3A 2127+119, 4U 2127+119, EXO 2127+119, Ginga 2127+119",M 15,J2129+121,XB 2127+119,XB2127p119,noFermi,noFermi,yes
4U 2126-60,1500,322.5,-60.1,"2A 2155-609, 1H 2158-602, 3A 2153-607",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J21304-1547,9999,322.643,-15.811,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
3A 2129+470,1420,322.8591600000001,47.29,"V* V1727 Cyg, 1H 2131+473, 2E 2129.6+4704",noMaxi,noMaxi,XB 2129+470,XB2129p470,noFermi,noFermi,yes
IGR J21319+3619,9999,322.86404,36.280613,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
